serial,player_name,club,position,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken,match_played,avrg
562,Wolf,Dortmund,Midfielder,65.2,66,50,25,8,2,0,5,49.12
563,Kenan Karaman,Beşiktaş,Forward,65,74,56,0,1,0,0,5,39
563,Muriel,Atalanta,Forward,65,59,48,0,5,0,2,5,39
565,Diogo Costa,Porto,Goalkeeper,64.8,269,173,0,0,0,33,6,38.88
565,Mbabu,Wolfsburg,Defender,64.8,141,96,31,16,5,4,6,51.28
567,Berget,Malmö,Midfielder,64.2,162,104,28,7,2,0,5,49.72
567,Pedro Gonçalves,Sporting CP,Midfielder,64.2,83,54,62,8,5,1,5,63.32
569,Shkurin,Dynamo Kyiv,Forward,64,22,14,0,0,0,0,2,38.4
570,Gerhardt,Wolfsburg,Midfielder,63,61,44,66,3,2,0,5,64.2
571,Vecino,Inter,Midfielder,62.5,40,29,0,1,0,0,4,37.5
572,Chukwueze,Villarreal,Midfielder,62.3,50,37,0,2,0,1,9,37.38
573,Darmian,Inter,Defender,62,57,41,20,5,1,1,5,45.2
573,Pervan,Wolfsburg,Goalkeeper,62,40,25,0,0,0,0,1,37.2
573,Rebić,Milan,Forward,62,21,13,0,2,0,0,2,37.2
576,Pedraza,Villarreal,Midfielder,61.4,195,151,15,19,3,0,10,42.84
577,Diawara,Malmö,Goalkeeper,61.3,66,48,0,0,0,4,3,36.78
577,Elanga,Man. United,Forward,61.3,47,31,0,1,0,1,3,36.78
579,Pizzi,Benfica,Midfielder,61,61,43,16,6,1,5,6,43
580,Marcano,Porto,Defender,60.5,53,36,0,1,0,1,2,36.3
581,Adamu,Salzburg,Forward,60.4,59,32,0,1,0,0,8,36.24
582,Nuno Santos,Sporting CP,Forward,60.1,72,49,11,9,1,1,7,40.46
583,Moisander,Malmö,Defender,60,86,77,0,0,0,4,3,36
584,Rafa Mir,Sevilla,Forward,58.8,46,29,50,2,1,0,6,55.28
585,Koopmeiners,Atalanta,Midfielder,57.8,135,106,25,12,3,4,5,44.68
586,Milner,Liverpool,Midfielder,57.5,157,116,22,9,2,7,8,43.3
586,Tigges,Dortmund,Forward,57.5,19,9,0,0,0,0,2,34.5
588,Kean,Juventus,Forward,57.2,44,29,0,0,0,0,6,34.32
589,Mata,Man. United,Midfielder,57,55,47,0,2,0,4,3,34.2
590,Tiago Tomás,Sporting CP,Forward,56.8,27,20,33,3,1,0,5,47.28
591,Núñez,Benfica,Forward,56.4,117,67,22,18,4,2,10,42.64
592,Oblak,Atlético,Goalkeeper,55.7,283,158,0,0,0,31,10,33.42
593,Dia,Villarreal,Forward,54.4,46,35,0,0,0,1,8,32.64
594,Lázaro,Benfica,Midfielder,54,47,38,0,0,0,2,6,32.4
594,Martínez,Leipzig,Goalkeeper,54,28,15,0,0,0,3,1,32.4
596,Azmoun,Zenit,Forward,53.6,56,38,50,2,1,0,5,52.16
597,Adeyemi,Salzburg,Forward,53.1,90,49,28,7,2,1,8,43.06
598,Dahlin,Malmö,Goalkeeper,53,98,52,0,0,0,13,4,31.8
599,Yakhshiboev,Sheriff,Forward,52.7,37,22,0,1,0,0,3,31.62
600,Okafor,Salzburg,Midfielder,51,80,51,0,4,0,0,6,30.6
601,Grbić,LOSC,Goalkeeper,50.7,165,85,0,0,0,24,6,30.42
602,Poulsen,Leipzig,Forward,46.8,43,27,0,1,0,0,4,28.08
603,Haaland,Dortmund,Forward,46.7,50,27,0,1,0,0,3,28.02
604,Phillips,Liverpool,Defender,44.5,37,33,0,0,0,1,2,26.7
605,Philipp,Wolfsburg,Forward,44,9,7,0,0,0,1,2,26.4
606,Brobbey,Leipzig,Forward,42.6,23,13,0,2,0,0,5,25.56
607,Traoré,Shakhtar Donetsk,Forward,36.5,22,16,0,0,0,0,2,21.9
608,Verbič,Dynamo Kyiv,Midfielder,35.7,26,18,0,0,0,0,3,21.42
